#NAME	CopdIAA.1	CopdIAA.2	CopdIAA.3	CopdIAA.4	CopdPBS.1	CopdPBS.2	CopdPBS.3	CopdPBS.4	CtrlIAA.1	CtrlIAA.2	CtrlIAA.3	CtrlIAA.4	CtrlPBS.1	CtrlPBS.2	CtrlPBS.3	CtrlPBS.4
#CLASS	COPDIAA	COPDIAA	COPDIAA	COPDIAA	COPDPBS	COPDPBS	COPDPBS	COPDPBS	ControlIAA	ControlIAA	ControlIAA	ControlIAA	ControlPBS	ControlPBS	ControlPBS	ControlPBS
Fkbp10	553	438	595	687	424	605	475	474	444	481	617	715	445	466	513	823
Fkbp11	73	56	57	72	88	104	74	91	73	81	92	140	93	84	102	87
Fkbp14	410	308	470	436	378	335	247	489	624	735	1130	1030	726	770	820	1070
Fkbp15	1346	1160	1352	1876	1582	1468	1038	1363	947	1102	1495	1849	987	1460	1506	1907
Fkbp1a	9819	6599	7609	8648	7831	8194	6860	9291	8703	8919	10259	13091	8083	10471	10002	10501
Fkbp1b	152	108	123	178	185	143	107	115	81	123	148	137	133	127	180	117
Fkbp2	1747	1477	1397	1940	1933	1888	1818	1876	1607	1815	2143	2569	1738	2308	2160	1987
Fkbp3	304	390	417	635	554	313	322	412	326	413	561	400	431	495	400	539
Fkbp4	4746	4169	3769	5356	5925	5526	6456	5507	7063	5960	5869	9980	5653	7583	6510	6228
Fkbp5	1762	1139	1370	1977	2398	1242	987	2280	4491	3479	7944	5459	5988	8269	4945	7774
Fkbp6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Fkbp7	339	372	397	424	351	294	288	317	349	411	585	511	383	364	468	565
Fkbp8	7065	5880	5530	7292	6692	7378	6217	6165	5068	5515	6881	7715	5317	6863	7025	7427
Fkbp9	4038	3029	4064	4591	3546	3774	2950	3819	4319	4483	5586	6510	4260	3668	5489	6130
Fkbpl	139	121	110	165	166	144	113	142	110	142	141	160	116	172	149	192
Fkrp	721	568	739	877	853	743	651	835	610	757	1166	1179	807	938	1005	1020
Fktn	247	285	366	472	415	272	301	422	451	444	529	682	517	379	583	491
Flad1	376	390	345	477	461	449	373	397	235	340	433	498	325	496	393	453
Flcn	612	642	655	842	744	703	575	669	634	671	961	879	581	708	812	903
Flg	0	1	0	0	2	0	0	1	0	3	0	3	3	4	0	3
Fli1	522	482	598	802	665	415	384	662	462	480	665	771	453	677	631	841
Flicr	0	2	5	5	1	2	5	2	0	4	2	1	1	2	0	2
Flii	3664	2931	3270	4198	3908	3880	3175	3703	2855	3122	4419	5341	3182	4286	4448	4900
Flna	9791	8491	10415	13317	10053	9553	8751	10404	9490	8997	14841	15197	8464	13718	12021	16014
Flnb	2073	1743	2235	2832	2331	2098	2051	2412	2460	2232	3766	3988	2160	3142	3001	4676
Flnc	106	83	133	160	147	111	224	162	131	194	232	270	157	329	229	1150
Flot1	2598	2065	2031	2621	2491	2718	2268	2476	1804	2305	3198	3029	2126	3318	3385	2806
Flot2	3184	2290	2552	3451	2950	3120	2448	2737	2412	2404	3477	3627	2427	3081	3484	3694
Flrt1	27	35	72	49	29	45	66	35	35	31	66	59	13	12	38	164
Flrt2	424	619	685	766	372	357	723	378	509	746	1106	724	555	531	575	1324
Flrt3	555	290	613	844	899	430	679	835	457	826	1226	1047	781	1100	1237	660
Flt1	2971	1765	3511	3537	2561	2180	1595	3439	4149	3743	5687	6511	3380	3933	5396	6423
Flt3	181	120	182	284	336	210	106	224	79	89	141	74	118	162	108	157
Flt3l	408	336	431	515	468	505	279	436	236	352	421	415	342	309	396	464
Flt4	614	336	913	883	517	622	422	778	651	675	1356	1200	533	676	1007	1308
Flvcr1	153	222	258	310	337	150	143	259	167	261	317	296	211	335	297	323
Flvcr2	279	286	327	499	406	363	280	319	266	305	390	531	303	227	462	455
Flywch1	1043	752	931	1203	1172	1058	1024	991	964	1007	1287	1636	983	1223	1321	1596
Flywch2	45	58	63	78	54	84	61	71	71	71	74	65	46	53	99	82
Fmc1	361	329	261	396	420	354	280	383	314	330	410	471	325	426	436	474
Fmn1	100	71	143	174	150	104	96	124	84	102	123	159	102	83	169	234
Fmn2	6	2	3	7	2	4	3	6	4	10	13	11	9	2	7	15
Fmnl1	1642	1569	1560	2657	2437	1798	1328	1947	727	621	1242	1377	970	2710	1166	1645
Fmnl2	583	481	802	798	721	414	348	804	724	816	1333	1332	802	949	1254	1673
Fmnl3	1622	1090	1633	1864	1437	1599	1160	1756	1332	1267	1820	2220	1065	1710	1793	1734
Fmo1	3822	1978	4050	3173	2508	3099	1612	3944	2936	4215	4923	5170	2951	3284	4115	4321
Fmo2	12838	14010	15364	17314	11692	10356	9636	12597	15344	21543	25091	23514	18101	15080	20312	20936
Fmo3	836	958	592	736	1199	759	540	1084	939	1707	1588	1956	1574	1697	1217	1527
Fmo4	17	26	39	31	27	36	24	25	18	53	59	58	45	41	39	45
Fmo5	515	419	518	617	487	512	382	576	432	621	777	767	599	476	749	733
Fmo6	9	3	1	3	23	3	4	21	14	20	11	37	25	13	20	35
Fmod	331	268	253	209	395	237	295	286	283	257	307	285	255	168	346	2113
Fmr1	385	435	503	664	549	331	349	490	509	744	821	613	689	595	692	711
Fmr1nb	3	1	1	2	0	1	1	1	3	0	4	1	1	0	1	7
Fmr1os	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	2
Fn1	7290	9068	9875	15716	10906	7560	7786	7879	4955	4657	12533	8884	6000	11034	7580	21409
Fn3k	38	36	31	37	38	52	30	42	37	58	57	62	59	42	47	54
Fn3krp	278	246	252	316	274	276	232	329	198	272	349	403	268	267	285	288
Fnbp1	1375	1363	1766	2682	2393	1416	1110	1771	1007	1015	1422	1780	971	1449	1413	2298
Fnbp1l	2073	1555	2384	2837	2523	1638	1258	2374	2432	3251	3997	3664	3180	2633	4123	3499
Fnbp4	398	428	546	581	508	339	308	421	302	538	589	525	404	516	468	874
Fndc1	195	112	236	222	239	159	687	186	265	236	462	414	228	341	329	5379
Fndc10	201	164	136	179	160	185	182	184	96	157	114	163	105	94	147	163
Fndc11	15	1	5	5	9	8	5	12	4	6	16	13	10	4	18	21
Fndc3a	778	891	1003	1252	1165	686	678	1056	940	1109	1422	1411	983	1125	1283	1582
Fndc3b	1111	1121	1540	2241	1702	1144	1037	1570	1311	1563	2251	2603	1426	1506	2068	2803
Fndc3c1	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	1
Fndc4	190	179	166	257	228	227	138	208	122	121	160	262	110	115	143	171
Fndc5	32	27	30	42	73	41	21	98	57	81	63	113	75	96	79	122
Fndc7	66	59	79	126	150	87	60	101	49	74	66	112	80	54	102	71
Fndc8	3	0	5	1	1	0	1	0	0	0	1	0	0	0	0	0
Fndc9	2	6	4	5	6	3	3	6	2	4	3	4	6	14	3	3
Fnip1	282	342	399	494	476	229	278	419	400	601	547	522	467	418	675	780
Fnip2	388	468	552	662	521	417	360	526	507	431	647	774	442	596	738	625
Fnta	1548	1390	1509	1770	1981	1609	1278	1790	1505	1696	1907	2070	1635	1835	1884	1723
Fntb	375	305	374	390	341	357	283	327	302	390	453	504	337	412	439	463
Focad	168	135	206	181	207	151	110	190	142	181	244	256	156	190	190	297
Folh1	1	5	4	5	16	1	22	2	4	7	14	11	9	8	14	193
Folr1	63	67	60	42	27	56	63	34	42	36	63	58	29	24	44	45
Folr2	112	133	66	173	78	104	271	80	119	93	90	142	100	76	123	829
Fopnl	559	453	493	638	587	492	398	533	451	525	598	711	537	623	582	639
Fos	420	585	432	824	919	636	398	561	411	433	885	506	767	1202	801	769
Fosb	67	42	62	49	74	81	80	76	48	94	53	46	37	39	64	71
Fosl1	4	1	5	0	1	2	3	3	0	0	4	7	1	7	0	5
Fosl2	1429	1591	1646	2105	1916	1453	1397	1614	1548	1646	2697	2180	1779	2280	2362	4187
Foxa1	727	769	666	967	1422	809	808	1139	858	1205	1257	1679	1241	1184	1520	1150
Foxa2	1093	822	768	1132	1376	1318	1241	1230	762	1143	1432	1483	1148	1285	1359	965
Foxa3	10	15	4	16	51	21	24	19	8	15	9	12	17	17	18	22
Foxc1	78	94	63	83	132	73	54	99	63	104	128	104	110	73	100	209
Foxc2	14	18	25	17	16	19	22	17	19	14	17	42	25	19	25	50
Foxd1	1	0	2	1	0	1	0	0	1	1	1	4	0	0	1	1
Foxd2	29	17	14	23	39	22	19	47	16	15	27	17	8	23	10	33
Foxd2os	17	23	22	28	23	13	10	12	13	9	15	20	6	19	16	22
Foxd3	0	0	1	0	0	0	0	0	0	0	2	1	4	2	4	0
Foxd4	7	28	23	14	9	8	11	17	9	7	18	17	33	71	16	15
Foxe1	2	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1
Foxe3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Foxf1	3227	2405	3976	4215	2377	2880	1762	3165	4613	3605	6262	7105	3778	4766	6776	9413
Foxf2	373	232	502	495	301	403	221	391	308	413	567	534	345	418	495	347
Foxg1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Foxh1	0	0	3	0	2	1	1	0	0	0	1	0	0	0	0	1
Foxi1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
Foxi3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Foxj1	1638	1469	770	2055	2915	2031	943	2811	1931	3703	3493	3730	3792	2974	2981	2872
Foxj2	1368	1158	1482	1614	1475	1338	1086	1408	971	1202	1610	1745	1081	1374	1533	1598
Foxj3	706	689	830	990	957	685	565	867	716	932	1083	1157	782	886	1034	1209
Foxk1	1001	819	1191	1497	1167	1015	718	1270	1089	1123	1714	1763	1069	1284	1606	1860
Foxk2	848	686	884	1125	1086	848	717	1045	1065	1001	1355	1547	967	1301	1337	1258
Foxl1	53	44	56	47	23	53	45	43	28	36	42	55	16	38	50	47
Foxl2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1
Foxm1	75	72	63	157	80	97	84	67	72	59	58	158	43	129	95	146
Foxn2	372	411	479	703	679	329	317	612	533	590	838	780	604	794	745	806
Foxn3	1292	1081	1580	1917	1601	1205	1030	1473	1372	1627	2074	2135	1462	1254	2073	2546
Foxn4	6	6	3	13	14	6	5	9	9	9	9	9	14	11	6	13
Foxo1	1068	954	1257	1476	1204	1101	792	1324	1229	1341	1852	1980	1337	1443	1557	2287
Foxo3	2111	2042	2301	2867	2965	2076	1350	2734	4180	3679	6157	5760	4765	4266	5148	6406
Foxo4	1663	1217	1612	1777	1791	1494	1225	1802	1800	1853	2401	2298	1938	1854	2573	2453
Foxo6	208	220	193	230	185	198	329	145	150	205	227	276	161	203	206	357
Foxo6os	1	1	1	1	0	0	0	0	0	0	2	0	0	0	3	1
Foxp1	2428	2082	2568	3141	2704	2025	1581	3066	2437	3100	3211	3831	2569	3028	3835	3699
Foxp2	111	151	170	170	202	108	108	161	178	265	235	192	245	195	268	213
Foxp3	25	27	17	45	30	37	34	23	9	13	11	14	11	29	12	40
Foxp4	2079	2136	2102	2754	2511	2799	2473	2089	1782	1882	2336	3132	1976	2319	2733	2903
Foxq1	206	173	162	216	303	191	141	246	247	306	485	289	271	480	241	201
Foxr1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
Foxr2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
Foxred1	285	235	306	422	349	305	250	335	214	286	330	419	258	351	305	461
Foxred2	57	47	59	86	77	37	22	57	34	38	86	58	38	98	62	108
Foxs1	86	62	63	109	95	71	64	91	38	69	52	91	51	71	58	82
Fpgs	351	258	317	328	295	339	316	390	284	291	380	425	258	442	380	482
Fpgt	103	149	107	164	197	110	129	166	118	242	199	201	167	157	234	238
Fpr1	205	332	245	573	538	359	322	384	117	91	106	261	109	250	132	128
Fpr2	307	548	352	629	608	429	331	411	103	89	178	186	119	375	150	117
Fpr3	11	36	26	41	43	13	16	29	6	1	20	7	4	26	5	8
Fra10ac1	157	178	161	204	208	132	135	205	175	243	221	235	192	214	269	250
Fras1	530	864	808	931	502	437	515	419	481	528	773	757	354	239	511	1046
Frat1	193	186	207	231	219	217	163	212	126	171	236	215	153	213	256	303
Frat2	110	93	102	137	84	93	91	114	113	114	143	148	125	194	149	177
Frem1	88	97	134	162	134	111	59	111	108	173	201	157	117	147	136	136
Frem2	11	18	29	31	29	16	14	17	17	25	33	55	33	15	30	45
Frem3	4	1	2	7	0	1	5	1	1	5	3	1	2	1	4	5
Frg1	257	271	234	387	340	274	192	352	191	244	298	324	257	350	301	307
Frg2f1	25	32	39	50	44	28	17	46	36	26	55	61	30	37	45	58
Frg2f4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Frk	81	150	148	264	191	97	79	139	109	158	111	159	128	92	144	164
Frmd3	3	15	13	13	2	3	5	5	4	6	4	5	4	1	0	4
Frmd4a	982	711	1244	1661	1207	1008	658	1303	1073	1200	1680	1898	1230	1306	1718	1694
Frmd4b	925	838	1012	1336	1113	820	928	960	799	1060	1407	1523	970	1071	1200	1750
Frmd5	12	16	16	21	14	16	28	25	24	29	31	41	13	34	25	72
Frmd6	1167	777	1313	1256	1015	950	729	1263	1136	1340	1903	2251	1140	1344	1944	1936
Frmd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Frmd8	1601	1297	1468	1911	1892	1805	1441	1719	1144	1143	1645	1888	1207	1790	1662	1616
Frmd8os	1	3	3	1	2	2	3	3	1	2	2	2	2	0	3	4
Frmpd1	104	63	133	136	81	127	111	92	99	96	124	148	83	56	138	92
Frmpd2	67	75	53	143	173	54	50	148	84	214	189	184	155	144	141	160
Frmpd3	0	0	1	4	0	6	1	5	4	1	2	3	0	0	1	1
Frmpd4	0	0	0	0	0	1	0	0	2	1	2	1	0	1	0	3
Frrs1	224	263	321	396	336	183	209	280	199	196	285	287	166	266	230	319
Frrs1l	1	0	1	0	1	1	2	2	2	1	1	2	1	0	1	3
Frs2	496	487	671	781	699	497	420	620	550	684	851	957	637	621	963	1079
Frs3	90	81	70	96	77	91	62	94	61	120	114	146	100	115	130	143
Frs3os	0	1	1	0	1	0	0	0	0	0	0	1	0	2	0	0
Fry	773	751	926	995	949	723	563	935	830	1070	1580	1491	946	1061	1317	1388
Fryl	867	853	1179	1492	1320	896	732	1317	904	1138	1489	1612	994	1234	1254	1562
Frzb	2	2	6	5	4	8	5	3	3	2	4	3	2	4	2	11
Fsbp	1	2	4	14	4	0	2	3	0	0	9	0	6	0	9	5
Fscn1	864	659	446	1097	1044	1109	703	804	382	376	329	504	416	347	490	763
Fscn2	7	1	3	7	7	3	0	5	4	8	3	7	9	10	7	15
Fscn3	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0
Fsd1	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	2
Fsd1l	113	140	117	241	214	107	85	221	205	437	380	283	334	294	242	266
Fsd2	48	34	23	72	77	45	17	73	69	116	101	136	98	69	103	128
Fsip1	39	35	17	58	64	42	12	56	35	114	92	74	75	79	67	72
Fsip2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Fst	38	24	39	45	40	29	20	42	38	79	97	48	68	87	88	111
Fstl1	2146	2099	2198	3180	2396	2150	1504	2126	1745	1982	2337	2668	1894	1658	2187	3653
Fstl3	838	466	720	749	685	739	652	696	737	816	1173	1246	931	898	1137	999
Fstl4	2	6	6	9	14	7	5	6	11	13	12	16	9	14	22	30
Ftcd	8	13	16	18	16	22	9	15	10	12	19	20	6	18	18	18
Fth-ps2	0	1	2	0	0	0	0	0	0	0	2	1	0	1	0	2
Fth1	90119	76567	70232	108213	91983	88483	75772	78201	76509	68875	84953	99769	71232	89284	90130	91417
Fthl17f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ftl1	92865	90723	65519	97896	100452	111598	91033	88157	65304	60751	70910	88499	60039	93658	73969	85935
Ftl1-ps1	345	400	256	377	430	385	292	312	183	233	229	323	196	307	222	289
Ftl1-ps2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Ftl2-ps	0	1	1	3	3	0	0	1	1	0	0	0	0	1	1	4
Fto	1343	1126	1251	1705	1335	1373	1158	1419	1146	1272	1672	2116	1251	1371	1727	2068
Ftsj1	188	152	184	241	191	219	194	176	175	175	278	284	173	222	191	235
Ftsj3	257	257	293	371	367	264	273	337	327	330	388	440	297	501	378	382
Ftx	21	31	48	49	43	27	24	36	35	56	63	45	50	45	34	61
Fubp1	581	557	749	831	826	600	618	736	691	826	897	1011	567	874	785	831
Fubp3	512	565	631	918	697	490	444	744	611	673	922	1015	645	707	951	1199
Fuca1	2978	2920	2598	4213	3777	3268	2485	2890	2166	2154	2886	3669	2259	2745	2917	3874
Fuca2	1110	1253	1226	1956	1918	1371	1206	1569	1174	1330	1562	2100	1354	1437	1771	1595
Fuk	292	255	323	448	368	381	287	352	262	312	426	508	323	297	403	441
Fundc1	449	466	472	774	693	390	356	594	443	634	719	693	607	584	704	762
Fundc2	721	657	677	956	849	632	527	764	646	702	867	916	728	886	881	981
Fuom	198	243	182	290	283	255	208	253	145	164	180	239	183	197	205	274
Furin	3903	3647	4535	6461	5139	4434	3370	4586	3171	3361	5085	6352	3614	4416	5488	6148
Fus	4019	3152	4105	4473	3246	3605	2326	3868	1624	2729	3712	3982	2193	4183	3680	5454
Fut1	4	3	4	10	11	3	11	4	0	1	1	2	0	0	2	2
Fut10	153	115	189	185	119	149	99	147	115	142	201	241	123	116	194	273
Fut11	651	530	726	965	740	649	534	833	618	761	1009	1142	694	739	903	1093
Fut2	16	7	13	31	87	17	13	33	7	21	14	17	24	7	21	35
Fut4	160	227	216	358	351	234	197	327	223	232	291	393	254	381	333	334
Fut7	61	75	43	84	122	68	43	85	19	17	31	30	20	48	25	23
Fut8	495	650	638	962	880	582	470	728	523	698	767	1024	657	733	977	1184
Fut9	0	0	0	3	13	1	1	11	2	8	2	4	12	0	5	9
Fuz	461	391	400	510	438	452	357	453	317	465	543	574	409	440	477	560
Fv1	25	15	30	34	32	21	29	42	25	26	41	56	31	36	35	35
Fxn	191	156	128	244	219	208	190	194	145	171	195	250	142	217	197	225
Fxr1	777	838	868	1297	1168	623	654	947	1145	1199	1271	1257	1224	1139	1353	1486
Fxr2	2489	1707	2149	2333	2445	2306	2180	2320	2620	2673	3211	3589	2934	2912	3764	3305
Fxyd1	1119	600	750	595	510	739	737	628	991	1021	1431	1288	977	1044	1167	1647
Fxyd2	34	41	26	38	20	35	55	26	42	15	32	42	20	24	55	128
Fxyd3	582	418	414	448	689	467	555	482	478	498	537	604	479	450	530	661
Fxyd4	9	18	12	29	28	22	10	13	3	8	4	17	9	9	8	5
Fxyd5	4005	4605	3396	5455	5907	4617	3092	4522	1928	1728	3045	2857	2218	5324	2798	3246
Fxyd6	863	718	819	851	615	968	782	646	788	889	951	1034	710	677	796	917
Fxyd7	11	7	9	4	7	8	6	14	10	8	11	11	13	11	6	16
Fyb	395	343	333	724	472	320	293	384	166	173	469	314	333	1056	320	633
Fyb2	4	4	3	5	10	3	1	9	3	3	3	5	7	3	2	11
Fyco1	1152	1033	1275	1629	1332	1150	964	1119	1222	1254	1883	2334	1254	1196	1946	2142
Fyn	1161	771	1025	1353	1202	1030	762	1322	1146	1101	1465	1597	1116	1497	1543	1837
Fyttd1	490	542	587	837	728	462	440	626	553	735	821	848	709	707	741	925
Fzd1	599	499	730	901	787	711	662	702	569	679	1178	996	593	1026	938	2016
Fzd10	3	1	8	7	5	7	6	1	3	3	13	10	3	7	9	33
Fzd2	919	591	966	1051	862	975	1129	843	448	585	836	1135	562	474	847	867
Fzd3	146	153	179	252	198	125	136	207	188	334	291	299	268	262	243	275
Fzd4	1536	1143	2325	2086	1492	1452	974	2084	2197	2374	3735	3885	2053	2435	3231	4610
Fzd5	561	468	610	765	726	495	574	690	487	576	871	856	554	627	852	783
Fzd6	468	479	640	804	717	527	331	830	423	699	711	895	577	555	765	846
Fzd7	994	1001	1033	1277	1108	1059	1131	1137	622	1090	1392	1560	827	823	1163	1309
Fzd8	327	342	357	398	388	379	316	416	297	459	693	699	414	461	577	630
Fzd9	1	0	2	2	0	0	3	0	2	2	2	1	1	6	2	8
Fzr1	800	665	700	929	843	873	754	848	521	623	719	959	614	817	735	854
G0s2	579	472	546	463	338	521	420	422	344	635	648	633	469	419	563	1586
G2e3	86	114	140	191	156	90	86	134	109	179	176	156	118	161	142	122
G3bp1	2139	2019	2050	3179	3032	2208	1911	2759	1745	2220	2607	3038	2120	3034	2545	2874
G3bp2	1673	1676	1766	2354	2324	1588	1212	2045	1237	1630	2092	2169	1433	2089	1811	2218
G6pc	28	30	21	26	25	27	17	23	20	20	29	31	17	19	22	26
G6pc2	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0
G6pc3	714	549	555	689	735	736	623	628	485	587	705	785	525	711	706	745
G6pd2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
G6pdx	1067	953	989	1364	1181	1239	1110	1010	761	792	1221	1393	834	1599	1159	1779
Gaa	2524	2174	2774	3283	3080	2839	2657	2807	2052	2267	3218	4102	2344	2562	3006	3826
Gab1	1219	1138	1491	1741	1472	1331	994	1373	1159	1324	1786	2031	1329	1024	2020	2022
Gab2	1324	1162	1438	1835	1543	1275	879	1411	1634	1400	2093	2203	1507	1609	1991	2658
Gab3	45	51	49	79	73	30	17	61	39	43	52	53	36	42	57	62
Gabarap	8531	8615	7109	9601	9949	9338	8056	8409	6473	6573	7852	9050	6608	9130	8096	8379
Gabarapl1	5950	4590	5201	5375	4777	5493	5237	4635	5085	5484	8010	7349	5640	6371	7231	8073
Gabarapl2	2239	1903	2032	2360	2454	2132	1715	2423	1934	2160	2630	2760	2164	2693	2561	2523
Gabbr1	307	323	501	453	434	334	249	369	294	437	489	435	330	380	477	500
Gabbr2	1	2	3	3	3	2	2	4	1	1	0	4	2	5	2	12
Gabpa	366	476	499	701	598	310	378	536	496	696	680	803	605	739	915	983
Gabpb1	456	432	447	561	543	431	343	527	360	431	515	554	357	555	530	526
Gabpb2	798	778	937	1242	1115	690	635	1123	960	1126	1503	1589	1011	1190	1444	1428
Gabra1	1	0	1	6	2	0	0	1	0	5	6	0	0	3	6	3
Gabra2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
Gabra3	276	214	287	286	178	161	161	178	316	405	534	431	347	253	368	887
Gabra4	0	2	7	2	6	1	5	5	1	6	3	8	8	3	4	7
Gabrb1	9	7	4	7	6	5	5	4	8	8	7	11	7	3	6	13
Gabrb2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Gabrb3	0	3	0	1	2	0	0	0	1	2	4	2	1	1	1	0
Gabrd	14	23	7	13	14	6	14	11	8	17	19	15	7	9	26	33
Gabre	20	30	41	27	13	24	17	30	34	78	66	62	44	49	27	50
Gabrg2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Gabrg3	0	0	4	0	1	0	0	2	0	2	1	0	0	0	2	1
Gabrp	822	774	596	1220	1632	963	621	1401	1368	1763	1720	2146	1671	2423	1447	1560
Gabrq	33	26	28	27	31	30	25	20	38	50	68	78	27	39	64	114
Gabrr1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gabrr2	0	1	5	5	3	3	13	1	6	5	1	5	5	8	4	5
Gabrr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gad1	12	5	8	7	8	5	7	7	4	9	12	13	8	23	12	10
Gad1-ps	13	16	22	33	23	10	15	41	12	18	33	26	41	87	27	9
Gad1os	8	10	9	13	19	7	10	14	3	9	9	6	9	2	8	5
Gad2	0	0	1	0	1	2	0	1	3	3	2	0	2	1	1	0
Gadd45a	301	376	337	425	381	270	306	446	317	349	490	504	398	622	514	590
Gadd45b	1541	1102	1662	1857	1575	1470	1252	1694	1398	1826	1992	2209	2046	1869	2701	2445
Gadd45g	946	1524	1527	2574	1499	1319	782	1400	1756	1053	839	2650	1476	1204	2441	2939
Gadd45gip1	995	852	760	924	1059	987	914	924	672	696	951	1058	696	1135	871	968
Gadl1	2	3	0	5	5	0	3	1	1	1	1	1	7	4	2	7
Gak	2466	2258	2372	3281	2853	2661	2031	2566	2047	2109	3089	3539	2290	2664	3194	3716
Gal	32	8	26	36	29	27	49	24	49	37	65	87	31	46	73	66
Gal3st1	391	474	359	538	519	558	326	430	307	411	428	605	413	399	537	463
Gal3st2	21	17	16	20	33	15	12	21	12	14	12	24	10	7	17	39
Gal3st2b	1	4	0	3	0	2	0	0	1	1	3	0	1	2	0	0
Gal3st2c	2	7	3	7	7	4	3	5	8	9	6	15	5	2	4	12
Gal3st3	15	10	11	10	14	10	7	6	2	17	13	26	17	9	19	9
Gal3st4	3	10	23	23	22	12	20	8	8	20	21	9	19	25	7	28
Galc	380	407	383	508	564	399	352	513	395	488	523	748	475	533	612	658
Gale	296	266	231	393	384	286	298	339	244	275	287	454	287	408	309	420
Galk1	1087	969	800	1015	1027	1103	971	993	683	954	1094	1242	952	1014	1043	1211
Galk2	553	640	500	862	834	638	498	699	488	645	678	829	618	730	735	777
Galm	175	206	157	288	327	206	150	256	140	150	149	258	181	155	213	277
Galns	412	390	384	525	508	405	351	378	289	229	366	456	257	330	385	372
Galnt1	1518	1487	1925	2506	2479	1406	1322	2127	1712	2002	2408	2667	1889	2258	2522	3465
Galnt10	498	348	451	629	501	559	465	544	390	353	596	658	371	595	473	761
Galnt11	413	370	433	558	512	389	320	529	399	474	637	643	443	477	554	634
Galnt12	104	90	85	158	220	84	73	172	72	99	110	134	88	135	98	192
Galnt13	20	34	41	51	41	17	29	22	42	47	31	46	36	44	76	52
Galnt14	1	1	0	0	1	1	0	2	1	0	0	0	0	1	0	2
Galnt15	1125	843	1319	907	860	983	505	708	1004	1618	2736	1284	1844	1285	2135	4963
Galnt16	32	10	28	47	18	39	16	50	31	43	47	80	32	31	34	65
Galnt17	20	15	37	37	28	46	23	17	39	36	55	59	34	34	46	45
Galnt18	2742	1410	2714	3088	2473	2818	1535	3057	2800	3239	4336	4900	3229	3047	4765	4254
Galnt2	1700	1901	2420	3008	2592	1838	1951	2542	2281	2230	3014	3791	2079	2686	3079	3881
Galnt3	140	180	170	386	445	206	189	344	248	365	263	394	309	373	353	380
Galnt4	485	426	549	595	689	468	355	680	379	588	771	855	542	624	639	798
Galnt5	13	6	5	26	62	7	6	25	23	28	39	51	53	53	25	43
Galnt6	335	361	328	650	661	465	382	517	258	219	365	448	224	437	346	486
Galnt6os	1	0	0	1	0	1	0	0	0	2	1	0	0	2	0	1
Galnt7	117	159	171	296	290	120	117	186	122	159	153	224	139	176	187	235
Galnt9	14	22	9	10	6	7	17	19	17	12	52	12	18	93	14	10
Galntl5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Galntl6	3	0	0	2	16	0	2	8	0	4	2	1	10	9	2	9
Galr2	3	4	18	12	5	7	6	7	14	7	13	5	15	13	8	17
Galr3	8	17	19	34	31	16	13	16	2	2	4	8	2	3	8	9
Galt	510	426	488	550	537	573	419	485	316	424	452	548	432	486	538	524
Gamt	209	129	168	224	159	208	167	182	136	144	192	231	100	149	166	210
Gan	468	486	733	677	631	518	535	656	633	764	1046	910	750	872	829	964
Ganab	2558	2431	3103	3750	3441	2857	2703	3224	2515	2988	4300	5071	2732	3496	3751	4408
Ganc	247	253	285	404	387	251	182	270	216	300	331	416	232	255	318	435
Gap43	168	153	182	218	168	164	136	294	335	333	445	676	217	347	347	295
Gapdh	17205	17167	14097	21883	20254	20421	17900	17219	13051	11859	17068	21098	12548	23581	16479	22208
Gapdh-ps14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gapdh-ps15	0	6	0	0	0	17	16	0	0	0	0	0	0	0	0	5
Gapdhs	0	3	2	0	0	1	0	1	4	2	1	1	0	2	0	0
